country,gender,steps_gini,N,percentile,steps_mean
Australia,female,0.303666489195,6479,P 25,2567.20722124
Australia,male,0.303666489195,6858,P 25,3746.19538648
Australia,female,0.303666489195,6479,P 50,3905.82876884
Australia,male,0.303666489195,6858,P 50,5370.112
Australia,female,0.303666489195,6479,P 75,5530.30637507
Australia,male,0.303666489195,6858,P 75,7253.31597635
